GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
roman-number,it.mtss.unipd,RomanPrinter,3,360,1,19,1,31,2,11,1,2
roman-number,it.mtss.unipd,IntegerToRoman,3,220,2,38,1,39,3,19,1,1
